Membership No  Date Joined  Active  
    16015      2016-2-16    yes   
    89476      2020-5-7     no    
    39015      2020-9-15    no    
    94315      2020-12-14   no    
    93229      2016-10-20   yes   
    64364      2015-12-16   no    
    94169      2019-4-12    no    
    45408      2015-7-16    yes   
    54205      2015-6-21    yes   
    92608      2019-3-16    yes   
    22378      2015-9-8     no    
    21056      2017-4-20    no    
    46503      2018-11-4    yes   
    68176      2019-1-12    yes   
    96048      2017-9-25    no    
    13488      2016-12-4    no    
    62007      2019-4-4     no    
    11639      2020-11-5    no    
    19188      2019-7-14    no    
    66803      2016-6-8     yes   
